municipal,district,state,cc,living_area,price,price_sqrt,commission,rooms,garden,balcony,type,garage,elevator,cellar
6832,Feldkirch,Vorarlberg,80416,84.0,485000.0,5773.8,Broker,4.0,False,False,condominium,True,True,True
6900,Bregenz,Vorarlberg,80207,104.0,899500.0,8649.0,Broker,4.0,True,False,condominium,True,True,False
6900,Bregenz,Vorarlberg,80207,81.0,716900.0,8850.6,Broker,3.0,True,False,condominium,True,True,False
6900,Bregenz,Vorarlberg,80207,92.0,650000.0,7065.2,Broker,3.5,False,False,condominium,False,False,False
6900,Bregenz,Vorarlberg,80207,90.0,,,Broker,4.0,True,False,condominium,False,False,True
6900,Bregenz,Vorarlberg,80207,93.0,699980.0,7526.7,No broker,4.0,False,False,condominium,False,False,False
6900,Bregenz,Vorarlberg,80207,168.0,,,Broker,6.0,False,True,condominium,False,True,True
6900,Bregenz,Vorarlberg,80207,153.0,,,Broker,3.0,False,False,condominium,True,True,True
6900,Bregenz,Vorarlberg,80207,100.0,520000.0,5200.0,No broker,4.0,False,True,condominium,False,False,True
6900,Bregenz,Vorarlberg,80207,189.0,,,Broker,4.0,False,False,condominium,True,True,True
6900,Bregenz,Vorarlberg,80207,145.0,700000.0,4827.6,No broker,5.0,False,True,condominium,False,False,False
6900,Bregenz,Vorarlberg,80207,138.0,1950000.0,14130.4,No broker,4.5,True,False,condominium,False,False,False
6900,Bregenz,Vorarlberg,80207,63.0,850000.0,13492.1,No broker,3.0,False,False,condominium,False,False,False
6900,Bregenz,Vorarlberg,80207,59.0,1062.0,18.0,Broker,2.0,False,False,rented flat,False,True,False
6900,Bregenz,Vorarlberg,80207,59.0,932.11,15.8,Broker,2.0,False,False,rented flat,False,True,False
6900,Bregenz,Vorarlberg,80207,59.0,1129.0,19.1,Broker,2.0,False,False,rented flat,False,True,False
6900,Bregenz,Vorarlberg,80207,103.0,1852.08,18.0,Broker,4.0,False,False,rented flat,False,True,False
6900,Bregenz,Vorarlberg,80207,107.0,1420.0,13.3,Broker,3.5,False,False,rented flat,True,False,True
6900,Bregenz,Vorarlberg,80207,65.0,924.0,14.2,Broker,2.5,False,True,rented flat,False,True,False
6900,Bregenz,Vorarlberg,80207,75.0,1204.4,16.1,Broker,3.0,True,False,rented flat,True,False,True
6900,Bregenz,Vorarlberg,80207,72.0,897.35,12.5,Broker,2.0,False,False,rented flat,False,True,False
6900,Bregenz,Vorarlberg,80207,140.0,,,Broker,3.0,False,False,rented flat,False,False,False
6900,Bregenz,Vorarlberg,80207,67.0,1072.82,16.0,Broker,3.0,False,True,rented flat,True,False,False
6900,Bregenz,Vorarlberg,80207,58.0,790.0,13.6,Broker,2.5,False,True,rented flat,False,True,False
6900,Bregenz,Vorarlberg,80207,77.0,1077.85,14.0,Broker,,True,False,rented flat,False,False,True
6900,Bregenz,Vorarlberg,80207,97.0,1365.0,14.1,Broker,3.5,True,False,rented flat,False,False,True
6900,Bregenz,Vorarlberg,80207,88.0,1216.5,13.8,Broker,2.5,True,False,rented flat,False,False,True
6900,Bregenz,Vorarlberg,80207,61.0,1245.0,20.4,Broker,2.0,False,False,rented flat,False,True,True
6900,Bregenz,Vorarlberg,80207,80.0,1165.0,14.6,Broker,3.0,False,True,rented flat,False,True,True
6850,Bregenz,Vorarlberg,80301,120.0,820000.0,6833.3,No broker,5.0,False,False,condominium,True,False,True
6850,Bregenz,Vorarlberg,80301,125.0,1340000.0,10720.0,No broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,96.0,590000.0,6145.8,No broker,3.0,False,True,condominium,True,False,True
6850,Bregenz,Vorarlberg,80301,68.0,349000.0,5132.4,Broker,3.0,False,False,condominium,False,True,False
6850,Bregenz,Vorarlberg,80301,133.0,,,Broker,4.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,114.0,530000.0,4649.1,No broker,4.0,False,False,condominium,True,False,True
6850,Bregenz,Vorarlberg,80301,87.0,750000.0,8620.7,Broker,,True,False,condominium,False,False,False
6850,Bregenz,Vorarlberg,80301,41.0,239653.0,5845.2,Broker,2.0,False,False,condominium,False,True,True
6850,Bregenz,Vorarlberg,80301,133.0,550000.0,4135.3,Broker,5.0,False,False,condominium,False,False,True
6850,Bregenz,Vorarlberg,80301,115.0,450000.0,3913.0,Broker,4.0,False,True,condominium,False,False,True
6850,Bregenz,Vorarlberg,80301,41.0,225653.0,5503.7,Broker,2.0,False,False,condominium,False,True,True
6850,Bregenz,Vorarlberg,80301,156.0,,,Broker,5.0,False,True,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,77.0,,,Broker,3.0,False,False,condominium,False,True,False
6850,Bregenz,Vorarlberg,80301,78.0,472000.0,6051.3,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,79.0,559000.0,7076.0,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,97.0,646000.0,6659.8,Broker,4.0,True,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,59.0,409000.0,6932.2,Broker,2.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,50.0,350000.0,7000.0,Broker,2.0,True,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,59.0,392000.0,6644.1,Broker,2.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,86.0,505000.0,5872.1,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,56.0,363000.0,6482.1,Broker,2.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,73.0,453000.0,6205.5,Broker,3.0,True,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,91.0,807000.0,8868.1,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,50.0,332000.0,6640.0,Broker,2.0,True,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,79.0,537000.0,6797.5,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,78.0,483000.0,6192.3,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,73.0,446000.0,6109.6,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,78.0,564000.0,7230.8,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,128.0,1179000.0,9210.9,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,59.0,435000.0,7372.9,Broker,2.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,82.0,723000.0,8817.1,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,56.0,348000.0,6214.3,Broker,2.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,67.0,428000.0,6388.1,Broker,3.0,True,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,78.0,576000.0,7384.6,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,94.0,865000.0,9202.1,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,59.0,407000.0,6898.3,Broker,2.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,78.0,528000.0,6769.2,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,79.0,518000.0,6557.0,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,59.0,383000.0,6491.5,Broker,2.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,81.0,482000.0,5950.6,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,83.0,742000.0,8939.8,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,73.0,434000.0,5945.2,Broker,3.0,False,False,condominium,True,True,True
6850,Bregenz,Vorarlberg,80301,37.0,795.0,21.5,Broker,2.0,False,False,rented flat,False,True,True
6850,Bregenz,Vorarlberg,80301,112.0,1780.0,15.9,Broker,5.0,False,True,rented flat,True,True,False
6850,Bregenz,Vorarlberg,80301,70.0,975.0,13.9,Broker,2.0,True,False,rented flat,True,False,False
6850,Bregenz,Vorarlberg,80301,49.0,850.0,17.4,Broker,2.0,True,False,rented flat,True,False,False
6850,Bregenz,Vorarlberg,80301,32.0,650.0,20.3,Broker,1.0,False,True,rented flat,False,True,False
6850,Bregenz,Vorarlberg,80301,56.0,990.0,17.7,Broker,2.0,False,False,rented flat,True,True,True
6850,Bregenz,Vorarlberg,80301,90.0,1775.8,19.7,Broker,4.0,False,False,rented flat,False,False,False
6850,Bregenz,Vorarlberg,80301,70.0,1099.0,15.7,Broker,4.0,False,False,rented flat,False,False,True
6850,Bregenz,Vorarlberg,80301,51.0,871.0,17.1,Broker,2.0,False,True,rented flat,False,False,False
6850,Bregenz,Vorarlberg,80301,41.0,695.0,17.0,Broker,2.0,False,True,rented flat,True,False,False
6850,Bregenz,Vorarlberg,80301,86.0,,,Broker,,False,False,single-family home,False,False,False
6850,Bregenz,Vorarlberg,80301,,,,Broker,,False,False,single-family home,True,False,False
6850,Bregenz,Vorarlberg,80301,300.0,,,Broker,,False,False,single-family home,False,False,False
6850,Bregenz,Vorarlberg,80301,157.0,690000.0,4394.9,Broker,,False,False,single-family home,True,False,False
6830,Feldkirch,Vorarlberg,80411,54.0,342900.0,6350.0,Broker,2.0,True,False,condominium,True,True,True
6830,Feldkirch,Vorarlberg,80411,110.0,399000.0,3627.3,Broker,5.0,False,True,condominium,True,False,True
6830,Feldkirch,Vorarlberg,80411,103.0,671900.0,6523.3,Broker,4.0,True,False,condominium,True,True,True
6830,Feldkirch,Vorarlberg,80411,91.0,590900.0,6493.4,Broker,3.0,True,False,condominium,True,True,True
6800,Feldkirch,Vorarlberg,80404,136.0,550000.0,4044.1,Broker,4.0,False,True,condominium,True,False,True
6800,Feldkirch,Vorarlberg,80404,118.0,645000.0,5466.1,Broker,3.0,False,False,condominium,False,False,True
6800,Feldkirch,Vorarlberg,80404,97.0,575000.0,5927.8,Broker,4.0,False,False,condominium,True,True,True
6800,Feldkirch,Vorarlberg,80404,52.0,228000.0,4384.6,No broker,2.0,False,True,condominium,False,False,False
6800,Feldkirch,Vorarlberg,80404,69.0,308000.0,4463.8,Broker,3.0,False,True,condominium,True,False,False
6800,Feldkirch,Vorarlberg,80404,35.0,145000.0,4142.9,Broker,1.0,False,False,condominium,True,False,True
6800,Feldkirch,Vorarlberg,80404,69.0,305000.0,4420.3,Broker,3.0,False,True,condominium,True,False,True
6800,Feldkirch,Vorarlberg,80404,78.0,379000.0,4859.0,Broker,3.0,False,True,condominium,True,False,True
6800,Feldkirch,Vorarlberg,80404,101.0,425000.0,4207.9,Broker,4.0,False,True,condominium,True,False,True
6800,Feldkirch,Vorarlberg,80404,42.0,235653.0,5610.8,Broker,2.0,False,False,condominium,False,True,True
6800,Feldkirch,Vorarlberg,80404,56.0,,,Broker,2.0,False,False,condominium,True,False,True
6800,Feldkirch,Vorarlberg,80404,83.0,,,Broker,3.0,False,True,condominium,True,False,True
6800,Feldkirch,Vorarlberg,80404,77.0,310000.0,4026.0,Broker,3.0,False,False,condominium,True,False,True
6800,Feldkirch,Vorarlberg,80404,41.0,215653.0,5259.8,Broker,2.0,False,True,condominium,False,True,True
6800,Feldkirch,Vorarlberg,80404,57.0,813.29,14.3,Broker,2.0,False,False,rented flat,True,True,False
6800,Feldkirch,Vorarlberg,80404,55.0,899.0,16.4,Broker,2.0,False,True,rented flat,True,True,False
