PLZ,Bestimmungsort,OKZ,Ortschaft,GKZ,GEMNAM,Ort,Bundesland
1010,Wien,17223,"Wien,Innere Stadt",90001,Wien,Wien,Wien
1020,Wien,17224,"Wien,Leopoldstadt",90001,Wien,Wien,Wien
1030,Wien,17225,"Wien,Landstraße",90001,Wien,Wien,Wien
1040,Wien,17226,"Wien,Wieden",90001,Wien,Wien,Wien
1050,Wien,17227,"Wien,Margareten",90001,Wien,Wien,Wien
1060,Wien,17228,"Wien,Mariahilf",90001,Wien,Wien,Wien
1070,Wien,17229,"Wien,Neubau",90001,Wien,Wien,Wien
1080,Wien,17230,"Wien,Josefstadt",90001,Wien,Wien,Wien
1090,Wien,17231,"Wien,Alsergrund",90001,Wien,Wien,Wien
1100,Wien,17232,"Wien,Favoriten",90001,Wien,Wien,Wien
1110,Wien,17233,"Wien,Simmering",90001,Wien,Wien,Wien
1120,Wien,17234,"Wien,Meidling",90001,Wien,Wien,Wien
1130,Wien,17235,"Wien,Hietzing",90001,Wien,Wien,Wien
1140,Mauerbach,6714,Mauerbach,31950,Mauerbach,Wien,Wien
1150,Wien,17237,"Wien,Rudolfsheim-Fünfhaus",90001,Wien,Wien,Wien
1160,Wien,17238,"Wien,Ottakring",90001,Wien,Wien,Wien
1170,Wien,17239,"Wien,Hernals",90001,Wien,Wien,Wien
1180,Wien,17240,"Wien,Währing",90001,Wien,Wien,Wien
1190,Wien,17241,"Wien,Döbling",90001,Wien,Wien,Wien
1200,Wien,17242,"Wien,Brigittenau",90001,Wien,Wien,Wien
1210,Langenzersdorf,4096,Langenzersdorf,31214,Langenzersdorf,Wien,Wien
1220,Wien,17244,"Wien,Donaustadt",90001,Wien,Wien,Wien
1230,Wien,17245,"Wien,Liesing",90001,Wien,Wien,Wien
1300,Wien Flughafen,6726,Mannswörth,30740,Schwechat,Wien-Flughafen,Wien
2000,Hausleiten,4090,Zissersdorf,31208,Hausleiten,Stockerau,Niederösterreich
2002,Großmugl,4064,Füllersdorf,31204,Großmugl,Großmugl,Niederösterreich
2003,Leitzersdorf,4098,Leitzersdorf,31215,Leitzersdorf,Leitzersdorf,Niederösterreich
2004,Niederhollabrunn,4105,Bruderndorf,31234,Niederhollabrunn,Niederhollabrunn,Niederösterreich
2011,Leitzersdorf,4097,Hatzenbach,31215,Leitzersdorf,Sierndorf,Niederösterreich
2013,Göllersdorf,3746,Bergau,31008,Göllersdorf,Göllersdorf,Niederösterreich
2014,Breitenwaida,3747,Breitenwaida,31022,Hollabrunn,Breitenwaida,Niederösterreich
2020,Aspersdorf,3745,Aspersdorf,31022,Hollabrunn,Hollabrunn,Niederösterreich
2022,Immendorf,3877,Immendorf,31051,Wullersdorf,Immendorf,Niederösterreich
2023,Nappersdorf-Kammersdorf,3809,Haslach,31028,Nappersdorf-Kammersdorf,Nappersdorf,Niederösterreich
2024,Mailberg,3800,Mailberg,31025,Mailberg,Mailberg,Niederösterreich
2031,Altenmarkt im Thale,3752,Altenmarkt im Thale,31022,Hollabrunn,Eggendorf im Thale,Niederösterreich
2032,Gnadendorf,5033,Oedenkirchenwald,31613,Gnadendorf,Enzersdorf im Thale,Niederösterreich
2033,Nappersdorf-Kammersdorf,3808,Dürnleis,31028,Nappersdorf-Kammersdorf,Kammersdorf,Niederösterreich
2034,Großharras,5042,Diepolz,31616,Großharras,Großharras,Niederösterreich
2041,Wullersdorf,3777,Aschendorf,31051,Wullersdorf,Wullersdorf,Niederösterreich
2042,Grabern,3763,Ober-Steinabrunn,31009,Grabern,Guntersdorf,Niederösterreich
2051,Zellerndorf,3883,Deinzendorf,31052,Zellerndorf,Zellerndorf,Niederösterreich
2052,Pernersdorf,3818,Karlsdorf,31033,Pernersdorf,Pernersdorf-Pfaffendorf,Niederösterreich
2053,Haugsdorf,3781,Jetzelsdorf,31018,Haugsdorf,Jetzelsdorf,Niederösterreich
2054,Alberndorf im Pulkautal,3744,Alberndorf im Pulkautal,31001,Alberndorf im Pulkautal,Haugsdorf,Niederösterreich
2061,Hadres,3773,Hadres,31015,Hadres,Hadres,Niederösterreich
2062,Seefeld-Kadolz,3855,Großkadolz,31042,Seefeld-Kadolz,Seefeld-Großkadolz,Niederösterreich
2063,Großharras,5044,Zwingendorf,31616,Großharras,Zwingendorf,Niederösterreich
2064,Laa an der Thaya,5139,Wulzeshofen,31629,Laa an der Thaya,Wulzeshofen,Niederösterreich
2070,Mitterretzbach,3842,Mitterretzbach,31038,Retzbach,Retz,Niederösterreich
2073,Schrattenthal,3852,Obermarkersdorf,31041,Schrattenthal,Schrattenthal,Niederösterreich
2074,Retz,3837,Kleinhöflein,31037,Retz,Unterretzbach,Niederösterreich
2081,Niederfladnitz,3814,Niederfladnitz,31016,Hardegg,Niederfladnitz,Niederösterreich
2082,Hardegg,3776,Hardegg,31016,Hardegg,Hardegg,Niederösterreich
2083,Hardegg,3846,Heufurth,31016,Hardegg,Pleißing,Niederösterreich
2084,Weitersfeld,4040,Fronsburg,31129,Weitersfeld,Weitersfeld,Niederösterreich
2091,Langau,3984,Hessendorf,31113,Langau,Langau,Niederösterreich
2092,Hardegg,3845,Felling,31016,Hardegg,Riegersburg,Niederösterreich
2093,Geras,3951,Fugnitz,31107,Geras,Geras,Niederösterreich
2094,Drosendorf-Zissersdorf,3927,Pingendorf,31104,Drosendorf-Zissersdorf,Zissersdorf,Niederösterreich
2095,Drosendorf-Zissersdorf,3921,Autendorf,31104,Drosendorf-Zissersdorf,Drosendorf,Niederösterreich
2100,Bisamberg,4049,Bisamberg,31201,Bisamberg,Korneuburg,Niederösterreich
2102,Bisamberg,4049,Bisamberg,31201,Bisamberg,Bisamberg,Niederösterreich
2103,Langenzersdorf,4096,Langenzersdorf,31214,Langenzersdorf,Langenzersdorf,Niederösterreich
2104,Spillern,4126,Spillern,31227,Spillern,Spillern,Niederösterreich
2105,Leitzersdorf,4094,Kleinwilfersdorf,31215,Leitzersdorf,Oberrohrbach,Niederösterreich
2111,Harmannsdorf,4080,Harmannsdorf,31207,Harmannsdorf,Rückersdorf-Harmannsdorf,Niederösterreich
2112,Harmannsdorf,4091,Hetzmannsdorf,31207,Harmannsdorf,Würnitz,Niederösterreich
2113,Ernstbrunn,4058,Lachsfeld,31203,Ernstbrunn,Karnabrunn,Niederösterreich
2114,Großrußbach,4074,Großrußbach,31205,Großrußbach,Großrußbach,Niederösterreich
2115,Ernstbrunn,4054,Dörfles,31203,Ernstbrunn,Ernstbrunn,Niederösterreich
2116,Ernstbrunn,4053,Au,31203,Ernstbrunn,Niederleis,Niederösterreich
2120,Obersdorf,5092,Obersdorf,31655,Wolkersdorf im Weinviertel,Wolkersdorf im Weinviertel,Niederösterreich
2122,Münichsthal,5135,Münichsthal,31655,Wolkersdorf im Weinviertel,Ulrichskirchen,Niederösterreich
2123,Hautzendorf,5060,Hautzendorf,31627,Kreuttal,Schleinbach,Niederösterreich
2124,Kreuzstetten,5065,Oberkreuzstetten,31628,Kreuzstetten,Niederkreuzstetten,Niederösterreich
2125,Hochleithen,5053,Bogenneusiedl,31622,Hochleithen,Neubau,Niederösterreich
2126,Ladendorf,5071,Eggersdorf,31630,Ladendorf,Ladendorf,Niederösterreich
2130,Eibesthal,5017,Eibesthal,31633,Mistelbach,Mistelbach,Niederösterreich
2132,Mistelbach,5024,Frättingsdorf,31633,Mistelbach,Frättingsdorf,Niederösterreich
2133,Fallbach,5019,Fallbach,31609,Fallbach,Loosdorf,Niederösterreich
2134,Staatz,5113,Enzersdorf bei Staatz,31649,Staatz,Staatz-Kautendorf,Niederösterreich
2135,Laa an der Thaya,5067,Kottingneusiedl,31629,Laa an der Thaya,Neudorf im Weinviertel,Niederösterreich
2136,Laa an der Thaya,5050,Hanfthal,31629,Laa an der Thaya,Laa an der Thaya,Niederösterreich
2141,Ameis,5112,Ameis,31649,Staatz,Ameis,Niederösterreich
2143,Großkrut,5045,Althöflein,31617,Großkrut,Großkrut,Niederösterreich
2144,Altlichtenwarth,5003,Altlichtenwarth,31601,Altlichtenwarth,Altlichtenwarth,Niederösterreich
2145,Hausbrunn,5051,Hausbrunn,31620,Hausbrunn,Hausbrunn,Niederösterreich
2151,Asparn an der Zaya,5005,Altmanns,31603,Asparn an der Zaya,Asparn an der Zaya,Niederösterreich
2152,Gnadendorf,5031,Eichenbrunn,31613,Gnadendorf,Gnadendorf,Niederösterreich
2153,Stronsdorf,5119,Oberschoderlee,31650,Stronsdorf,Stronsdorf,Niederösterreich
2154,Gaubitsch,5025,Altenmarkt,31611,Gaubitsch,Unterstinkenbrunn,Niederösterreich
2161,Poysbrunn,5103,Poysbrunn,31644,Poysdorf,Poysbrunn,Niederösterreich
2162,Falkenstein,5018,Falkenstein,31608,Falkenstein,Falkenstein,Niederösterreich
2163,Ottenthal,5049,Guttenbrunn,31658,Ottenthal,Ottenthal,Niederösterreich
2164,Wildendürnbach,5087,Neuruppersdorf,31653,Wildendürnbach,Wildendürnbach,Niederösterreich
2165,Drasenhofen,5012,Drasenhofen,31606,Drasenhofen,Drasenhofen,Niederösterreich
2170,Kleinhadersdorf,5102,Kleinhadersdorf,31644,Poysdorf,Poysdorf,Niederösterreich
2171,Herrnbaumgarten,5052,Herrnbaumgarten,31621,Herrnbaumgarten,Herrnbaumgarten,Niederösterreich
2172,Schrattenberg,5109,Schrattenberg,31646,Schrattenberg,Schrattenberg,Niederösterreich
2181,Palterndorf-Dobermannsdorf,3490,Dobermannsdorf,30845,Palterndorf-Dobermannsdorf,Dobermannsdorf,Niederösterreich
2182,Palterndorf-Dobermannsdorf,3550,Palterndorf,30845,Palterndorf-Dobermannsdorf,Palterndorf,Niederösterreich
2183,Neusiedl an der Zaya,3545,Neusiedl an der Zaya,30841,Neusiedl an der Zaya,Neusiedl an der Zaya,Niederösterreich
2184,Hauskirchen,3520,Hauskirchen,30826,Hauskirchen,Hauskirchen,Niederösterreich
2185,Prinzendorf an der Zaya,3521,Prinzendorf an der Zaya,30826,Hauskirchen,Prinzendorf an der Zaya,Niederösterreich
2191,Gaweinstal,5028,Atzelsdorf,31612,Gaweinstal,Gaweinstal,Niederösterreich
2192,Mistelbach,5059,Kettlasbrunn,31633,Mistelbach,Kettlasbrunn,Niederösterreich
2193,Poysdorf,5099,Erdberg,31644,Poysdorf,Wilfersdorf,Niederösterreich
2201,Gerasdorf,6697,Gerasdorf,31235,Gerasdorf bei Wien,Gerasdorf,Niederösterreich
2202,Enzersfeld,4051,Enzersfeld im Weinviertel,31202,Enzersfeld im Weinviertel,Enzersfeld,Niederösterreich
2203,Eibesbrunn,5038,Eibesbrunn,31614,Großebersdorf,Großebersdorf,Niederösterreich
2211,Pillichsdorf,5097,Pillichsdorf,31642,Pillichsdorf,Pillichsdorf,Niederösterreich
2212,Groß-Engersdorf,5041,Großengersdorf,31615,Großengersdorf,Großengersdorf,Niederösterreich
2213,Bockfließ,5011,Bockfließ,31605,Bockfließ,Bockfließ,Niederösterreich
2214,Auersthal,3483,Auersthal,30804,Auersthal,Auersthal,Niederösterreich
2215,Matzen-Raggendorf,3542,Raggendorf,30838,Matzen-Raggendorf,Raggendorf,Niederösterreich
2221,Groß-Schweinbarth,3516,Groß-Schweinbarth,30824,Groß-Schweinbarth,Groß Schweinbarth,Niederösterreich
2222,Bad Pirawarth,3484,Bad Pirawarth,30805,Bad Pirawarth,Bad Pirawarth,Niederösterreich
2223,Gaweinstal,5030,Martinsdorf,31612,Gaweinstal,Hohenruppersdorf,Niederösterreich
2224,Sulz im Weinviertel,3505,Erdpreß,30857,Sulz im Weinviertel,Obersulz,Niederösterreich
2225,Zistersdorf,3487,Blumenthal,30863,Zistersdorf,Zistersdorf,Niederösterreich
2230,Gänserndorf,3507,Gänserndorf,30817,Gänserndorf,Gänserndorf,Niederösterreich
2231,Bockfließ,5011,Bockfließ,31605,Bockfließ,Strasshof an der Nordbahn,Niederösterreich
2232,Aderklaa,3479,Aderklaa,30801,Aderklaa,Deutsch Wagram,Niederösterreich
2241,Schönkirchen-Reyersdorf,3561,Schönkirchen-Reyersdorf,30852,Schönkirchen-Reyersdorf,Schönkirchen,Niederösterreich
2242,Prottes,3554,Prottes,30848,Prottes,Prottes,Niederösterreich
2243,Matzen-Raggendorf,3541,Matzen,30838,Matzen-Raggendorf,Matzen,Niederösterreich
2244,Spannberg,3563,Spannberg,30854,Spannberg,Spannberg,Niederösterreich
2245,Velm-Götzendorf,3571,Götzendorf,30859,Velm-Götzendorf,Velm-Götzendorf,Niederösterreich
2251,Ebenthal,3495,Ebenthal,30812,Ebenthal,Ebenthal,Niederösterreich
2252,Angern an der March,3482,Ollersdorf,30803,Angern an der March,Ollersdorf,Niederösterreich
2253,Weikendorf,3573,Dörfles,30860,Weikendorf,Weikendorf,Niederösterreich
2261,Angern an der March,3481,Angern an der March,30803,Angern an der March,Angern an der March,Niederösterreich
2262,Angern an der March,3564,Grub an der March,30803,Angern an der March,Stillfried,Niederösterreich
2263,Dürnkrut,3493,Dürnkrut,30811,Dürnkrut,Dürnkrut,Niederösterreich
2264,Jedenspeigen,3525,Jedenspeigen,30829,Jedenspeigen,Jedenspeigen,Niederösterreich
2265,Drösing,3491,Drösing,30810,Drösing,Drösing,Niederösterreich
2272,Ringelsdorf-Niederabsdorf,3557,Niederabsdorf,30850,Ringelsdorf-Niederabsdorf,Niederabsdorf,Niederösterreich
2273,Hohenau an der March,3523,Hohenau an der March,30827,Hohenau an der March,Hohenau an der March,Niederösterreich
2274,Rabensburg,5108,Rabensburg,31645,Rabensburg,Rabensburg,Niederösterreich
2275,Bernhardsthal,5008,Bernhardsthal,31604,Bernhardsthal,Bernhardsthal,Niederösterreich
2276,Katzelsdorf,5009,Katzelsdorf,31604,Bernhardsthal,Reintal,Niederösterreich
2280,Glinzendorf,3509,Glinzendorf,30819,Glinzendorf,Glinzendorf,Niederösterreich
2281,Raasdorf,3555,Pysdorf,30849,Raasdorf,Raasdorf,Niederösterreich
2282,Großhofen,3514,Großhofen,30822,Großhofen,Markgrafneusiedl,Niederösterreich
2283,Obersiebenbrunn,3547,Obersiebenbrunn,30842,Obersiebenbrunn,Obersiebenbrunn,Niederösterreich
2284,Untersiebenbrunn,3570,Untersiebenbrunn,30858,Untersiebenbrunn,Untersiebenbrunn,Niederösterreich
2285,Leopoldsdorf im Marchfeld,3528,Breitstetten,30831,Leopoldsdorf im Marchfeld,Leopoldsdorf im Marchfelde,Niederösterreich
2286,Haringsee,3517,Fuchsenbigl,30825,Haringsee,Haringsee,Niederösterreich
2291,Lassee,3526,Lassee,30830,Lassee,Lassee,Niederösterreich
2292,Engelhartstetten,3501,Engelhartstetten,30814,Engelhartstetten,Engelhartstetten,Niederösterreich
2293,Marchegg,3535,Marchegg,30835,Marchegg,Marchegg Stadt,Niederösterreich
2294,Breitensee,3534,Breitensee,30835,Marchegg,Marchegg Bahnhof,Niederösterreich
2295,Weiden an der March,3486,Baumgarten an der March,30865,Weiden an der March,Oberweiden,Niederösterreich
2301,Andlersdorf,3480,Andlersdorf,30802,Andlersdorf,Groß-Enzersdorf,Niederösterreich
2304,Eckartsau,3499,Wagram an der Donau,30813,Eckartsau,Orth an der Donau,Niederösterreich
2305,Eckartsau,3496,Eckartsau,30813,Eckartsau,Eckartsau,Niederösterreich
2320,Mannswörth,6726,Mannswörth,30740,Schwechat,Schwechat,Niederösterreich
2322,Zwölfaxing,6737,Zwölfaxing,30741,Zwölfaxing,Zwölfaxing,Niederösterreich
2325,Himberg,6699,Gutenhof,30732,Himberg,Himberg,Niederösterreich
2326,Lanzendorf,6710,Lanzendorf,30734,Lanzendorf,Maria Lanzendorf,Niederösterreich
2331,Vösendorf,5165,Vösendorf,31723,Vösendorf,Vösendorf,Niederösterreich
2332,Hennersdorf,5150,Hennersdorf,31711,Hennersdorf,Hennersdorf,Niederösterreich
2333,Leopoldsdorf,6711,Leopoldsdorf,30735,Leopoldsdorf,Leopoldsdorf,Niederösterreich
2334,Vösendorf,5165,Vösendorf,31723,Vösendorf,Vösendorf,Niederösterreich
2340,Mödling,5156,Mödling,31717,Mödling,Mödling,Niederösterreich
2344,Maria Enzersdorf,5155,Maria Enzersdorf,31716,Maria Enzersdorf,Maria Enzersdorf,Niederösterreich
2345,Brunn am Gebirge,5143,Brunn am Gebirge,31704,Brunn am Gebirge,Brunn am Gebirge,Niederösterreich
2351,Biedermannsdorf,5141,Biedermannsdorf,31702,Biedermannsdorf,Wiener Neudorf,Niederösterreich
2352,Gumpoldskirchen,5148,Gumpoldskirchen,31709,Gumpoldskirchen,Gumpoldskirchen,Niederösterreich
2353,Gumpoldskirchen,5148,Gumpoldskirchen,31709,Gumpoldskirchen,Guntramsdorf,Niederösterreich
2361,Laxenburg,5154,Laxenburg,31715,Laxenburg,Laxenburg,Niederösterreich
2362,Biedermannsdorf,5141,Biedermannsdorf,31702,Biedermannsdorf,Biedermannsdorf,Niederösterreich
2371,Hinterbrühl,5151,Hinterbrühl,31712,Hinterbrühl,Hinterbrühl,Niederösterreich
2372,Gießhübl,5146,Gießhübl,31707,Gießhübl,Gießhübl,Niederösterreich
