element_type,osmid,geometry
way,29507655,"POLYGON ((16.095781 47.2432288, 16.0957333 47.2431287, 16.0956077 47.2432243, 16.0956382 47.2433199, 16.0957174 47.2433168, 16.095781 47.2432288))"
way,29507726,"POLYGON ((16.0962054 47.2429321, 16.0960507 47.243017, 16.0959312 47.2431132, 16.0958793 47.2432001, 16.0959883 47.2432121, 16.0960723 47.2431491, 16.0961432 47.2430671, 16.0963033 47.2429652, 16.0962054 47.2429321))"
way,29507744,"POLYGON ((16.0857592 47.2265967, 16.0860542 47.2265626, 16.0861495 47.2265351, 16.0861991 47.2265092, 16.0862047 47.2264583, 16.0860681 47.226138, 16.0860376 47.226036, 16.0860288 47.2259911, 16.0859991 47.2259704, 16.0856875 47.2260195, 16.0856515 47.2260424, 16.0856348 47.2260796, 16.0856327 47.2265706, 16.0856596 47.2265914, 16.0857592 47.2265967))"
way,29507833,"POLYGON ((16.1159954 47.1622104, 16.1162634 47.1622084, 16.1163024 47.1620194, 16.1162964 47.1619394, 16.1161394 47.1618454, 16.1161428 47.1617616, 16.1163295 47.1615747, 16.1163871 47.161425, 16.1161424 47.1614434, 16.1159754 47.1614414, 16.1159595 47.1614305, 16.1158994 47.1616349, 16.1158417 47.1617317, 16.1157774 47.1619034, 16.1157984 47.1620644, 16.1159954 47.1622104))"
way,29507834,"POLYGON ((16.1161479 47.1624028, 16.1162119 47.1627548, 16.1162194 47.162893, 16.1164919 47.1629368, 16.1167469 47.1628248, 16.1167509 47.1626528, 16.1165619 47.1625358, 16.1164659 47.1623628, 16.1163429 47.1622808, 16.1161479 47.1624028))"
way,29507839,"POLYGON ((16.112099 47.1538236, 16.1119874 47.1538296, 16.1118965 47.1542958, 16.1119564 47.1544063, 16.1119493 47.1545266, 16.1120092 47.1545791, 16.1123254 47.1546772, 16.1124368 47.154752, 16.1127005 47.1546436, 16.1125888 47.1544103, 16.1125606 47.1541915, 16.1123326 47.1540337, 16.1122361 47.1538932, 16.112099 47.1538236))"
way,30336174,"POLYGON ((16.3637819 47.0668258, 16.3638233 47.0669339, 16.3638461 47.0665182, 16.3641934 47.0665876, 16.3642766 47.066542, 16.364243 47.066235, 16.3642914 47.0657763, 16.3644215 47.0654489, 16.3645225 47.0652299, 16.3645685 47.0650266, 16.3647154 47.0646199, 16.3648501 47.064379, 16.3653032 47.0638535, 16.3654502 47.0635073, 16.3656278 47.0631684, 16.3657395 47.0630005, 16.3658497 47.0626866, 16.3659418 47.0625693, 16.3662432 47.0622684, 16.3665876 47.0620244, 16.3666648 47.0619498, 16.3669295 47.0616124, 16.3672801 47.0612867, 16.3676198 47.0609174, 16.367755 47.060818, 16.368032 47.060627, 16.368085 47.060455, 16.3681392 47.0600036, 16.3665119 47.0595896, 16.3662861 47.0599846, 16.3660336 47.0603834, 16.3650296 47.0615813, 16.3648827 47.0618144, 16.3649069 47.0619652, 16.3643014 47.062776, 16.3637228 47.0638661, 16.3633723 47.0645191, 16.3631608 47.0654447, 16.3631236 47.0667319, 16.3633096 47.0669119, 16.3633056 47.0669804, 16.3631473 47.0670371, 16.3632292 47.0670937, 16.3634008 47.0670051, 16.3634139 47.0669283, 16.3633338 47.0668023, 16.3633539 47.0666772, 16.3634855 47.0666142, 16.3636402 47.0666493, 16.3637819 47.0668258))"
way,30336175,"POLYGON ((16.3182102 47.0533583, 16.3189764 47.0506554, 16.318852 47.0505891, 16.3188386 47.0503186, 16.3186964 47.0501523, 16.316413 47.0488579, 16.3153432 47.0484779, 16.3146631 47.048301, 16.3140105 47.0481258, 16.3134531 47.0479528, 16.3127768 47.0481255, 16.3120181 47.0482565, 16.310925 47.04838, 16.310313 47.048798, 16.3097 47.049067, 16.309533 47.049257, 16.309618 47.049657, 16.310342 47.050075, 16.31062 47.050417, 16.3108411 47.0511099, 16.3111181 47.0510669, 16.3113804 47.0511066, 16.3142492 47.0526504, 16.3154294 47.0531358, 16.3176565 47.0537973, 16.3179025 47.0539243, 16.3179749 47.0539444, 16.3180581 47.0539041, 16.3181117 47.0537561, 16.3180956 47.0537086, 16.3182102 47.0533583))"
way,30336179,"POLYGON ((16.3181626 47.0540882, 16.3194518 47.0550559, 16.3196352 47.0550609, 16.3200716 47.0547267, 16.320475 47.054458, 16.3208083 47.053793, 16.3214135 47.0533208, 16.3216153 47.0529869, 16.3216977 47.0526019, 16.3216153 47.0521869, 16.3213319 47.051697, 16.3212383 47.0512449, 16.3207402 47.050593, 16.3201177 47.0502567, 16.3197865 47.0501885, 16.3193591 47.0501747, 16.3192489 47.050258, 16.3181715 47.0537547, 16.3181626 47.0540882))"
way,30336180,"POLYGON ((16.3171236 47.0565643, 16.3176182 47.0546717, 16.3176316 47.0542075, 16.3177727 47.0538985, 16.317645 47.0538347, 16.315492 47.053247, 16.3135398 47.0545061, 16.3170093 47.0566014, 16.3170844 47.0566032, 16.3171236 47.0565643))"
way,30336181,"POLYGON ((16.2172403 47.1306941, 16.2175185 47.1307797, 16.2179281 47.1307328, 16.218343 47.130582, 16.218985 47.130277, 16.2192033 47.1301384, 16.2199929 47.1298853, 16.2204584 47.129777, 16.2206663 47.1296783, 16.2207362 47.1295673, 16.2208276 47.1295563, 16.2208491 47.1294552, 16.2209691 47.1293625, 16.2209745 47.1292893, 16.2208437 47.1292077, 16.2209387 47.1291784, 16.2211681 47.1292174, 16.2212236 47.1292735, 16.2212182 47.1294478, 16.2213283 47.1295629, 16.2223833 47.1292991, 16.2229822 47.1289795, 16.223262 47.128679, 16.2234425 47.1281894, 16.2235251 47.1280866, 16.2233744 47.1273884, 16.2230672 47.1263328, 16.2228581 47.1260295, 16.2226846 47.1258727, 16.2216816 47.1254603, 16.22085 47.125352, 16.2206036 47.1254439, 16.2203518 47.1253585, 16.2193346 47.1255388, 16.2185543 47.1255511, 16.2182857 47.1256443, 16.2182112 47.1258072, 16.2182937 47.1259182, 16.2182471 47.1260535, 16.2182973 47.1260864, 16.21836 47.1260767, 16.2184173 47.1259877, 16.2185356 47.1259865, 16.2186001 47.1260596, 16.2185374 47.1261559, 16.2184317 47.1262449, 16.2183116 47.1262986, 16.2181055 47.1262937, 16.2179314 47.1262172, 16.217455 47.1264336, 16.2173511 47.1265839, 16.2171952 47.1266619, 16.2169542 47.1265872, 16.216749 47.1267095, 16.2164854 47.1265673, 16.2163045 47.1265997, 16.2160344 47.126857, 16.2166389 47.1273235, 16.217541 47.1271947, 16.2176127 47.1274483, 16.2167041 47.12757, 16.216435 47.1279187, 16.2162862 47.128292, 16.2163081 47.1285078, 16.2163762 47.1285846, 16.2164145 47.1287961, 16.2165805 47.1290821, 16.2168059 47.1291969, 16.2164425 47.1294588, 16.216417 47.129617, 16.2162454 47.1299587, 16.216362 47.130017, 16.2164189 47.1301693, 16.2165536 47.1302196, 16.2166199 47.1303464, 16.216525 47.1304451, 16.2167292 47.1304585, 16.2168583 47.1304146, 16.2170016 47.1302659, 16.2169945 47.1302135, 16.2170661 47.1301757, 16.2171392 47.1302, 16.2172113 47.1302476, 16.2171808 47.1303293, 16.2170393 47.1304171, 16.2170321 47.1305122, 16.2172403 47.1306941))"
