element_type,osmid,geometry
way,4699362,"POLYGON ((14.5153633 46.6110972, 14.5154989 46.6111344, 14.515611 46.6111651, 14.5157605 46.6111349, 14.5157988 46.6111135, 14.5158977 46.6110582, 14.5161413 46.6107058, 14.5161786 46.6104879, 14.5164565 46.610253, 14.5172566 46.6101364, 14.5174688 46.6097839, 14.5181431 46.609423, 14.518941 46.6092098, 14.5191427 46.6092492, 14.5200285 46.608823, 14.5203615 46.6085274, 14.5206111 46.6085002, 14.520813 46.6085523, 14.5214739 46.6083736, 14.5217863 46.6083697, 14.5220471 46.6085184, 14.5223819 46.6085739, 14.5228351 46.6085234, 14.5231774 46.6084009, 14.5230543 46.6081835, 14.5227155 46.6079535, 14.5221412 46.6077754, 14.522153 46.6077075, 14.5223126 46.6077046, 14.522452 46.6075926, 14.5224927 46.607489, 14.5224386 46.607464, 14.5221703 46.6074731, 14.5218619 46.6076427, 14.520966 46.6078325, 14.5206495 46.6077809, 14.5200511 46.6074743, 14.5187371 46.6070088, 14.5181885 46.6071465, 14.5179003 46.6071175, 14.5164653 46.6064836, 14.5163607 46.6065547, 14.5164876 46.6066871, 14.516539 46.6068685, 14.5164814 46.6069097, 14.5163916 46.6069232, 14.5163114 46.6069061, 14.516069 46.6066789, 14.5159168 46.606619, 14.5155453 46.6065745, 14.5152824 46.6064912, 14.5152645 46.6062933, 14.5151818 46.606268, 14.5151071 46.6063239, 14.5149691 46.6064553, 14.515035 46.6065278, 14.51514 46.6064904, 14.5152676 46.6065675, 14.5152754 46.606626, 14.5152069 46.6067002, 14.5152318 46.606792, 14.5150666 46.6072137, 14.5145255 46.6073948, 14.5141092 46.6080162, 14.5139826 46.6081934, 14.5141288 46.608337, 14.5140401 46.6086279, 14.5139033 46.6086623, 14.5135746 46.6085948, 14.513421 46.6086573, 14.5133148 46.6086537, 14.513227 46.6085782, 14.5132456 46.6085097, 14.5132904 46.6084508, 14.5129377 46.6083318, 14.5128161 46.6083166, 14.5127307 46.6084537, 14.5125201 46.6085932, 14.5121036 46.6087614, 14.5121431 46.6088766, 14.5121586 46.6089871, 14.5123389 46.6088995, 14.5124968 46.6088748, 14.5125666 46.6088772, 14.5126307 46.6089525, 14.5126412 46.6090537, 14.5125654 46.6091739, 14.5129188 46.6091612, 14.513115 46.6092837, 14.5131299 46.6094556, 14.5137448 46.6098197, 14.5139623 46.6099485, 14.5146168 46.6104183, 14.5153633 46.6110972))"
way,10378665,"POLYGON ((15.0388673 46.6782354, 15.0388455 46.6782295, 15.0387798 46.6782957, 15.0386699 46.6782824, 15.038521 46.6782465, 15.0383681 46.6781959, 15.0378457 46.6781114, 15.0366943 46.6781224, 15.0362121 46.6781318, 15.0349843 46.6780476, 15.0339745 46.6779532, 15.0339209 46.6779265, 15.0337637 46.6779431, 15.0335709 46.6779635, 15.0334567 46.6781266, 15.0332393 46.6786639, 15.0332151 46.6789417, 15.0330107 46.6791124, 15.0326617 46.6803379, 15.0324353 46.6807401, 15.0322082 46.68099, 15.0318511 46.6810925, 15.0315921 46.6813803, 15.0317703 46.6815491, 15.0316865 46.6817168, 15.0314567 46.6818969, 15.0312175 46.6822106, 15.0309533 46.6825441, 15.0304815 46.6828162, 15.0298076 46.6831702, 15.0293976 46.6832542, 15.0291463 46.6835086, 15.0289193 46.6832106, 15.0284255 46.6829777, 15.0278945 46.682841, 15.027441 46.6828255, 15.0268941 46.6828468, 15.0265684 46.6827603, 15.0262664 46.6828413, 15.0260559 46.6830491, 15.0257733 46.683192, 15.0255342 46.6831702, 15.0254876 46.6830336, 15.0252285 46.6828628, 15.0249534 46.6827758, 15.0244138 46.6826751, 15.0242782 46.6827536, 15.0242337 46.6828136, 15.0243913 46.6830447, 15.0244748 46.6833058, 15.0248634 46.6834448, 15.0251167 46.6836533, 15.0255777 46.6838721, 15.0261491 46.6840367, 15.0262607 46.6841678, 15.0247392 46.6848534, 15.0241054 46.6849831, 15.0232773 46.6850297, 15.022542 46.6851564, 15.0225573 46.685317, 15.0228014 46.6854307, 15.0229813 46.6856485, 15.0227747 46.6859506, 15.0223702 46.6863618, 15.0203226 46.6868333, 15.0191809 46.6870259, 15.0184626 46.6870585, 15.0177017 46.6868846, 15.0172929 46.6866916, 15.0173011 46.6869591, 15.017329 46.687192, 15.0174253 46.6873722, 15.0177514 46.6874343, 15.0180216 46.6873939, 15.0187483 46.6877293, 15.0197803 46.6878155, 15.0200278 46.6880026, 15.0200476 46.6882767, 15.0196645 46.6889716, 15.019357 46.6893039, 15.0189005 46.6896579, 15.0185806 46.6899716, 15.0183561 46.6900945, 15.0180557 46.6900027, 15.0178197 46.689984, 15.0176365 46.6900865, 15.0176275 46.6901545, 15.0178352 46.6901766, 15.0179315 46.6903536, 15.0179315 46.6907014, 15.0177203 46.69113, 15.017246 46.6915375, 15.0169148 46.69189, 15.0156861 46.6923505, 15.0153989 46.6924119, 15.0152358 46.6924468, 15.0151985 46.6926394, 15.0150952 46.6928079, 15.0142265 46.6935183, 15.0142882 46.6937814, 15.0139472 46.6943659, 15.0138442 46.6949551, 15.01381 46.6953961, 15.0138738 46.6954281, 15.0140145 46.6954002, 15.0144684 46.6943495, 15.0148194 46.6940982, 15.0163137 46.693055, 15.0177127 46.6926709, 15.0180879 46.6925811, 15.0186704 46.6923432, 15.0187033 46.6923303, 15.0188658 46.6921708, 15.0190348 46.6919004, 15.0192359 46.6915287, 15.0194371 46.6912987, 15.019649 46.6911019, 15.0202927 46.6907486, 15.0205502 46.6905794, 15.0207809 46.6904101, 15.0210035 46.6902353, 15.0212288 46.6900072, 15.0214085 46.6898379, 15.0215775 46.6896595, 15.0217411 46.6894828, 15.0219181 46.6893448, 15.022071 46.68924, 15.022248 46.6891645, 15.0224036 46.6890633, 15.0224868 46.6889456, 15.0225404 46.6887561, 15.0228223 46.6884476, 15.0239381 46.6875939, 15.025752 46.6868978, 15.0266706 46.686781, 15.0269593 46.6866908, 15.0272302 46.6865942, 15.0274395 46.6864874, 15.0279531 46.6863697, 15.0280805 46.6863669, 15.0281274 46.6863651, 15.0281918 46.6863936, 15.0285204 46.6866816, 15.028574 46.6867772, 15.0285982 46.6868904, 15.0285499 46.6870863, 15.028566 46.6872593, 15.0286089 46.6873798, 15.0287698 46.6875068, 15.0290823 46.6876264, 15.029144 46.687654, 15.029199 46.6877377, 15.0292674 46.6877901, 15.0293344 46.6879355, 15.0292915 46.6880238, 15.0290154 46.6881692, 15.0290246 46.6882363, 15.0292097 46.6883035, 15.0294525 46.688332, 15.0295597 46.6883311, 15.0296427 46.6883121, 15.029726 46.6882464, 15.0298695 46.6881333, 15.0300834 46.6879987, 15.0301471 46.6878159, 15.0301418 46.6876107, 15.0301217 46.6874415, 15.0301378 46.6873108, 15.0302263 46.6871728, 15.0302531 46.6871176, 15.030241 46.6870183, 15.0302947 46.6869649, 15.0304007 46.6869125, 15.0305778 46.6867169, 15.0307238 46.6866806, 15.0307952 46.686633, 15.0312599 46.6862218, 15.0317057 46.6858864, 15.0321139 46.6857635, 15.0334412 46.6861703, 15.0337648 46.6862696, 15.0340841 46.6866392, 15.034258 46.6867355, 15.034489 46.6866996, 15.0346928 46.6867448, 15.0347362 46.6868194, 15.0349909 46.6868659, 15.0353263 46.6868597, 15.0356586 46.6867984, 15.0360096 46.6868691, 15.0364464 46.6869782, 15.0362207 46.6866051, 15.035949 46.6861909, 15.0355624 46.685984, 15.0352693 46.6858756, 15.0350965 46.6857603, 15.0348995 46.6856028, 15.0349006 46.6850209, 15.0349014 46.6845954, 15.0350731 46.6838888, 15.035522 46.6836578, 15.0358125 46.6836067, 15.0362381 46.6837547, 15.0365013 46.6838502, 15.0366835 46.6838876, 15.0369801 46.6839185, 15.0372513 46.6840503, 15.0374837 46.684264, 15.0377633 46.684434, 15.0378667 46.6844653, 15.0378108 46.6840895, 15.037873 46.68381, 15.037865 46.6834194, 15.0377505 46.6830709, 15.0373916 46.6825211, 15.0373047 46.6822401, 15.0375903 46.6819807, 15.0376005 46.6817688, 15.0377349 46.6814967, 15.0379471 46.6813167, 15.0381644 46.6811324, 15.0393202 46.6806391, 15.0393516 46.6805762, 15.0393293 46.6805189, 15.0392426 46.6804186, 15.0391935 46.6803814, 15.0391266 46.6803721, 15.0390528 46.6803466, 15.0390189 46.6803099, 15.0390305 46.6802104, 15.0390325 46.6801928, 15.0391843 46.6799114, 15.0392214 46.6798149, 15.0392553 46.6796972, 15.0392563 46.6796382, 15.03927 46.6796182, 15.0392893 46.6796104, 15.0393346 46.6796273, 15.0393468 46.6796497, 15.0393436 46.6796731, 15.0393355 46.6797424, 15.0393357 46.6797726, 15.0393516 46.6797862, 15.039374 46.6797774, 15.0394009 46.6797509, 15.0394755 46.6796049, 15.0394884 46.6795617, 15.0394784 46.6795117, 15.0394376 46.6794566, 15.0394098 46.6794205, 15.0394139 46.6793893, 15.0394342 46.6793737, 15.0394667 46.6793572, 15.0394698 46.6793229, 15.0394422 46.6792244, 15.0394015 46.6791259, 15.0393738 46.6791143, 15.0393235 46.6791299, 15.0393066 46.6791543, 15.0392953 46.6793937, 15.0392077 46.6793968, 15.0390939 46.6788987, 15.0390252 46.6785521, 15.0388673 46.6782354))"
way,18053956,"POLYGON ((14.6231026 46.5611033, 14.6223469 46.5609123, 14.6208895 46.5609267, 14.6200151 46.5612989, 14.6197236 46.5616997, 14.619099 46.561442, 14.6188325 46.5613315, 14.6185993 46.5614134, 14.6176624 46.5619144, 14.6173205 46.5629661, 14.617246 46.5637181, 14.6175487 46.5641659, 14.6176176 46.5645007, 14.6179434 46.564722, 14.6180465 46.5648563, 14.6186055 46.5654575, 14.6187658 46.5655651, 14.6188012 46.5655948, 14.6190507 46.5657609, 14.6191721 46.5658243, 14.619471 46.565937, 14.6195107 46.5659591, 14.6195802 46.5659822, 14.6203483 46.5663135, 14.6205495 46.5665174, 14.6208234 46.5668381, 14.6208269 46.5668477, 14.6208568 46.5669289, 14.6208662 46.5669629, 14.6209695 46.5670581, 14.6210783 46.5672133, 14.6211255 46.5672972, 14.6210219 46.5674894, 14.6210651 46.5676839, 14.6211161 46.5679064, 14.6211833 46.5676694, 14.6212506 46.5675955, 14.6214564 46.5675881, 14.6215276 46.5676471, 14.6217283 46.5676627, 14.6217893 46.5676852, 14.6218869 46.5676797, 14.6219383 46.567635, 14.62203 46.5676127, 14.6221241 46.5675718, 14.6221991 46.5674885, 14.6223052 46.5674696, 14.6223786 46.5673763, 14.6224926 46.5673109, 14.6226528 46.567164, 14.6228733 46.5670471, 14.6228651 46.5669695, 14.6229125 46.566926, 14.6229885 46.5669353, 14.6230939 46.5668354, 14.6230548 46.5667956, 14.6232422 46.5663519, 14.6233509 46.5663204, 14.6233574 46.5662518, 14.6234324 46.5661792, 14.6233917 46.5661251, 14.6234798 46.5659916, 14.6237114 46.5658336, 14.6238973 46.5657863, 14.6241347 46.5658005, 14.6241601 46.5657195, 14.6243889 46.5656251, 14.625029 46.5654985, 14.6251537 46.5654491, 14.625258 46.5654758, 14.625343 46.565409, 14.6254543 46.5654167, 14.6255181 46.5654892, 14.6256152 46.5655266, 14.6256169 46.565585, 14.62568 46.5655941, 14.6257063 46.565623, 14.625752 46.5656291, 14.6257691 46.5656772, 14.6258093 46.5656673, 14.6258572 46.5656812, 14.6259051 46.5656757, 14.6258927 46.5656233, 14.6257959 46.5656149, 14.6257763 46.5655858, 14.6258078 46.5655733, 14.625812 46.5655253, 14.6258895 46.5654963, 14.6257316 46.5654396, 14.6255847 46.5653691, 14.6254699 46.565264, 14.6259487 46.564763, 14.6255532 46.5637897, 14.624991 46.5634175, 14.6244913 46.5625443, 14.6239144 46.5612894, 14.6234373 46.5613615, 14.6231026 46.5611033))"
way,29875060,"POLYGON ((14.618196 46.61458, 14.618157 46.614418, 14.618083 46.614274, 14.617925 46.614223, 14.617795 46.614206, 14.617539 46.614229, 14.617326 46.614271, 14.617282 46.614372, 14.617295 46.614455, 14.617468 46.614645, 14.61763 46.614651, 14.618196 46.61458))"
way,29875573,"POLYGON ((14.548516 46.619456, 14.548538 46.619459, 14.548656 46.619295, 14.548727 46.619237, 14.548512 46.619281, 14.548408 46.619302, 14.548114 46.619427, 14.548516 46.619456))"
way,29876095,"POLYGON ((14.5606454 46.581941, 14.5605831 46.5819453, 14.5605282 46.5819491, 14.560569 46.582076, 14.5605438 46.5821264, 14.560531 46.5821914, 14.5605823 46.5821881, 14.560645 46.582184, 14.5606893 46.582166, 14.5606454 46.581941))"
way,29876333,"POLYGON ((14.5768314 46.637141, 14.5769394 46.637249, 14.5771514 46.637312, 14.5772514 46.637284, 14.5773164 46.637205, 14.5772714 46.637087, 14.5771534 46.637018, 14.5770574 46.637029, 14.5770004 46.636993, 14.5768714 46.637008, 14.5768314 46.637141))"
way,29878235,"POLYGON ((14.5395904 46.5848521, 14.5396654 46.5848761, 14.5397074 46.5848581, 14.5397164 46.5847631, 14.5397784 46.5846371, 14.5398504 46.5845581, 14.5398544 46.5845521, 14.5398394 46.5845091, 14.5397974 46.5844941, 14.5397134 46.5844901, 14.5395874 46.5847101, 14.5395474 46.5847801, 14.5395524 46.5848291, 14.5395754 46.5848481, 14.5395904 46.5848521))"
way,29879844,"POLYGON ((14.5761533 46.5816304, 14.5761163 46.5815944, 14.5749003 46.5813884, 14.5736373 46.5813504, 14.5735003 46.5814004, 14.5730063 46.5815504, 14.5721093 46.5820094, 14.5717223 46.5820134, 14.5716293 46.5820574, 14.5714423 46.5821704, 14.5713193 46.5824294, 14.5712492 46.5825215, 14.5710521 46.5827837, 14.5709983 46.5829514, 14.5710831 46.5833177, 14.5709369 46.583246, 14.5708483 46.5832364, 14.5708591 46.5833999, 14.5711019 46.5833992, 14.5720093 46.5845184, 14.5719731 46.584745, 14.5719221 46.5847546, 14.5719133 46.584803, 14.5719889 46.584884, 14.5720083 46.5849783, 14.5719731 46.5850594, 14.5719203 46.5851368, 14.5718622 46.5851875, 14.5718728 46.5852492, 14.5718446 46.5853036, 14.5717707 46.5853568, 14.5717303 46.5854161, 14.5717144 46.5854536, 14.5716599 46.5854633, 14.5716265 46.5854536, 14.571619 46.5854633, 14.571575 46.5855199, 14.5715279 46.5855806, 14.5715965 46.5856217, 14.5716476 46.5856761, 14.5716053 46.5857438, 14.571549 46.5857583, 14.5714773 46.5857564, 14.5714294 46.5857692, 14.571351 46.5857555, 14.5712117 46.5858855, 14.5711743 46.5858804, 14.5711699 46.5858977, 14.5712689 46.5859103, 14.5712216 46.5860189, 14.5712527 46.586024, 14.5712556 46.5860631, 14.5711643 46.5862377, 14.571208 46.5863523, 14.5711604 46.5864532, 14.5709421 46.5865868, 14.5708428 46.5866632, 14.5707992 46.5867669, 14.5708389 46.5868705, 14.5711153 46.5871954, 14.5715093 46.5874964, 14.5715771 46.5875743, 14.5717319 46.5876507, 14.5718867 46.5876752, 14.5719899 46.5876698, 14.5720812 46.5876152, 14.5721566 46.5876234, 14.5722035 46.5877768, 14.5726819 46.5876388, 14.5729807 46.5876923, 14.5731253 46.5876402, 14.5737825 46.5877232, 14.5752973 46.5873642, 14.5753705 46.5872639, 14.5754695 46.5871968, 14.5756205 46.5871556, 14.5757579 46.587154, 14.5758155 46.5871636, 14.5758862 46.5872066, 14.575892 46.5872402, 14.5760857 46.5871935, 14.5760551 46.5871618, 14.5760842 46.5871074, 14.5761431 46.5870477, 14.5765766 46.5869495, 14.5772579 46.5866608, 14.577581 46.5864404, 14.5776513 46.5863924, 14.5780333 46.5862454, 14.5793663 46.5856824, 14.5803393 46.5850724, 14.5804328 46.5850136, 14.5806113 46.5849014, 14.5807343 46.5847864, 14.5816823 46.5838924, 14.5819063 46.5836994, 14.5817453 46.5832834, 14.5814903 46.5825244, 14.5818673 46.5823144, 14.5816963 46.5821834, 14.5813213 46.5824214, 14.5808973 46.5824684, 14.5802923 46.5822264, 14.5796063 46.5824414, 14.5785413 46.5821744, 14.5782313 46.5822544, 14.5776763 46.5822044, 14.5764773 46.5819464, 14.5761533 46.5816304))"
way,29880086,"POLYGON ((14.610562 46.622874, 14.610566 46.622919, 14.610644 46.623036, 14.610405 46.623378, 14.610533 46.623549, 14.610593 46.623534, 14.610634 46.623526, 14.6106689 46.6234771, 14.6107425 46.6232188, 14.610833 46.623114, 14.610746 46.622983, 14.610612 46.622868, 14.610562 46.622874))"
