element_type,osmid,geometry
way,3868890,"POLYGON ((13.3546232 47.1126985, 13.3547981 47.1130804, 13.3550481 47.1132709, 13.3555233 47.1135469, 13.3558699 47.1136389, 13.3561757 47.1137864, 13.3567067 47.1137594, 13.3572316 47.113674, 13.3576863 47.1137558, 13.3579191 47.1137039, 13.3584722 47.1134722, 13.358831 47.113276, 13.3591701 47.1130293, 13.3591518 47.1124517, 13.3592345 47.112064, 13.3593493 47.1115448, 13.3593053 47.1111848, 13.3597505 47.1109213, 13.3603631 47.1110133, 13.360096 47.1108431, 13.3598803 47.1107869, 13.3596153 47.1105759, 13.3593246 47.110259, 13.3591068 47.1098712, 13.3591325 47.10962, 13.3590278 47.1093056, 13.3582335 47.1088614, 13.3580827 47.1088401, 13.3576187 47.1088882, 13.3574786 47.1089307, 13.3573102 47.1089234, 13.3571709 47.1089388, 13.3569681 47.1089235, 13.3568827 47.1089906, 13.3568278 47.1090596, 13.3568328 47.1091615, 13.3568642 47.1093125, 13.3567836 47.109644, 13.3567482 47.1097695, 13.3566825 47.1098107, 13.3565138 47.1097513, 13.3564155 47.1097026, 13.3563446 47.1096492, 13.3562653 47.1095536, 13.3561236 47.1094867, 13.3558811 47.1093463, 13.3555512 47.1092783, 13.3552766 47.1092951, 13.3547348 47.1092469, 13.3542702 47.1094295, 13.3540792 47.1095543, 13.3535718 47.1097215, 13.3532478 47.1099873, 13.3532456 47.1102013, 13.3531383 47.1104393, 13.3532456 47.110627, 13.3530579 47.1108351, 13.3527929 47.1110381, 13.3528497 47.1112564, 13.3531437 47.111493, 13.3533626 47.1115397, 13.3534613 47.1117602, 13.3536254 47.1120793, 13.3539505 47.1122655, 13.3544075 47.1124313, 13.3546232 47.1126985))"
way,3868891,"POLYGON ((13.410576 47.099457, 13.4106018 47.0995899, 13.4109078 47.0997304, 13.4110809 47.099884, 13.4112206 47.1001615, 13.411434 47.100416, 13.4119133 47.1006091, 13.4120804 47.1006153, 13.4122138 47.1006224, 13.4133545 47.1003204, 13.4134348 47.1003036, 13.4135065 47.1002953, 13.4139372 47.1002806, 13.414365 47.1002651, 13.4145805 47.1002545, 13.4147093 47.1001963, 13.4147599 47.100094, 13.4147278 47.0999922, 13.4147881 47.0998981, 13.4148712 47.0997204, 13.414943 47.0996582, 13.4148363 47.0995305, 13.4146879 47.0994365, 13.4147839 47.0993167, 13.4146826 47.0992415, 13.4147405 47.0990305, 13.4146916 47.0988404, 13.4145619 47.0986994, 13.4142913 47.0985527, 13.4138082 47.098163, 13.4135563 47.097962, 13.4132083 47.0978208, 13.4126965 47.0972585, 13.4124443 47.096953, 13.4123539 47.0967039, 13.4121234 47.0963768, 13.4118737 47.0962186, 13.4117235 47.0959934, 13.4118069 47.0951622, 13.4111995 47.0943127, 13.4107007 47.0932492, 13.4104136 47.0926371, 13.4099195 47.0920172, 13.4094258 47.0917026, 13.4093375 47.0914259, 13.4090633 47.0914309, 13.4084698 47.0911529, 13.407994 47.0907666, 13.4061041 47.0907231, 13.4055626 47.0908673, 13.4050875 47.0911335, 13.4049509 47.0912578, 13.4047043 47.0916489, 13.4046193 47.0920421, 13.4047419 47.0923209, 13.4049369 47.0924906, 13.4048693 47.0927659, 13.4047072 47.0937758, 13.4051438 47.0947104, 13.4054152 47.0947746, 13.405794 47.0953141, 13.4059899 47.0955597, 13.4064627 47.0958795, 13.4067984 47.0961217, 13.4072029 47.0965503, 13.4073325 47.0967974, 13.4074997 47.0969807, 13.4076871 47.0971948, 13.4078578 47.0972584, 13.4081467 47.0975949, 13.4086442 47.0979103, 13.4088271 47.0981438, 13.4093251 47.098427, 13.4098458 47.098527, 13.4105764 47.0990649, 13.410576 47.099457))"
way,3868900,"POLYGON ((13.8375542 47.2558087, 13.8381944 47.2559722, 13.8389183 47.2561151, 13.8394995 47.2561576, 13.8400213 47.2561895, 13.8403078 47.2559975, 13.8408878 47.2559238, 13.8410226 47.2557254, 13.8415364 47.2553692, 13.841528 47.2550719, 13.8417554 47.2548146, 13.8414522 47.2546831, 13.8410226 47.253934, 13.8408234 47.2539357, 13.8405996 47.2538016, 13.8405942 47.2537678, 13.8405593 47.2535511, 13.839731 47.253379, 13.8394041 47.2536417, 13.8391694 47.2538026, 13.8389336 47.2538655, 13.8387735 47.2537798, 13.8384197 47.2539284, 13.8375461 47.254204, 13.8370833 47.2540278, 13.8368814 47.253678, 13.8361623 47.2537969, 13.8354826 47.2534585, 13.8350715 47.2534002, 13.8346359 47.2535213, 13.8341356 47.2538485, 13.833449 47.2540183, 13.8329241 47.2540675, 13.8330473 47.2540817, 13.83346 47.254157, 13.8335483 47.2542919, 13.8338023 47.254423, 13.8340278 47.2544428, 13.8342418 47.2545938, 13.8345685 47.2546237, 13.8347809 47.2547285, 13.8350066 47.2546785, 13.8352459 47.254764, 13.8354494 47.2547461, 13.8356019 47.2548445, 13.8356671 47.2547423, 13.8359385 47.2547343, 13.8365061 47.2553938, 13.8370619 47.2557625, 13.8375542 47.2558087))"
way,30441234,"POLYGON ((13.6035171 47.27854, 13.6035403 47.2784993, 13.6035538 47.2784466, 13.6035501 47.2784084, 13.6035361 47.2783623, 13.6035189 47.2783366, 13.6035202 47.2782826, 13.6035122 47.2782365, 13.6034932 47.278205, 13.6034632 47.2781742, 13.6034109 47.2781492, 13.6033825 47.2781041, 13.6033598 47.2780443, 13.6033005 47.2779716, 13.6032429 47.2779666, 13.6031866 47.2779637, 13.6031493 47.2778944, 13.6031236 47.2778442, 13.6030783 47.2777831, 13.603041 47.2777615, 13.6030244 47.2777536, 13.6029375 47.2777217, 13.6028219 47.2777146, 13.6027711 47.2777121, 13.6026958 47.2777408, 13.6025997 47.2777449, 13.6025073 47.2777258, 13.6024021 47.2776922, 13.6023335 47.2776013, 13.6022986 47.2775365, 13.6022185 47.2774697, 13.6021065 47.2774024, 13.6019694 47.2773177, 13.6019155 47.2772778, 13.6018439 47.2772662, 13.6017607 47.2772679, 13.601699 47.2772752, 13.6016909 47.2772762, 13.6016542 47.2772961, 13.601612 47.277321, 13.6015771 47.2773484, 13.6015875 47.2774107, 13.6015783 47.277436, 13.6015343 47.2774506, 13.6014168 47.2774389, 13.6013464 47.2774198, 13.601254 47.2774107, 13.6011915 47.2774099, 13.6010367 47.2774427, 13.6009847 47.277458, 13.6009045 47.2774796, 13.6008256 47.2775149, 13.6007491 47.2775527, 13.6007044 47.2775714, 13.6006677 47.277578, 13.6006389 47.2776158, 13.600631 47.2776627, 13.6006334 47.2777051, 13.6006659 47.2777379, 13.6007062 47.2777786, 13.6007748 47.2778035, 13.6008825 47.2778259, 13.6009394 47.2778608, 13.6010018 47.2779031, 13.601049 47.2779434, 13.6010716 47.2780007, 13.601074 47.2780754, 13.6010624 47.2781244, 13.6010471 47.2781676, 13.6010441 47.2782241, 13.6010349 47.2782789, 13.6010337 47.278354, 13.6010269 47.2784146, 13.6010312 47.2785002, 13.6010575 47.2785762, 13.6010942 47.2786721, 13.6011261 47.2787605, 13.6011255 47.2788709, 13.6011242 47.2789714, 13.6011573 47.2790864, 13.6012221 47.2792699, 13.6012613 47.2794236, 13.6012687 47.2794995, 13.6012503 47.2795589, 13.6012442 47.2796287, 13.6012527 47.2797329, 13.6012466 47.2798076, 13.6012797 47.2798956, 13.601265 47.2799749, 13.6012436 47.2801078, 13.6012032 47.2803228, 13.6011707 47.2803918, 13.601153 47.2804503, 13.6011671 47.2804798, 13.6011873 47.2805009, 13.6012075 47.280518, 13.6012191 47.2805371, 13.6012546 47.2805483, 13.6012956 47.2805578, 13.6013439 47.2805599, 13.6013947 47.2805499, 13.6014419 47.2805474, 13.6015024 47.2805491, 13.601563 47.2805495, 13.6016022 47.2805495, 13.6016505 47.2805416, 13.6016695 47.2805275, 13.6016824 47.2805047, 13.6016958 47.2804931, 13.6016964 47.2804748, 13.6016922 47.2804507, 13.6016928 47.2804329, 13.6017075 47.2804192, 13.6017203 47.2804079, 13.6017289 47.2803963, 13.6017551 47.2803819, 13.601771 47.2803459, 13.6017658 47.2803113, 13.6017034 47.2802941, 13.6016926 47.2802675, 13.6017338 47.2802294, 13.6017631 47.2802033, 13.6017858 47.2801721, 13.6017999 47.2801373, 13.601825 47.2801032, 13.6018623 47.280065, 13.6018666 47.2800364, 13.601858 47.2799907, 13.6018476 47.2799645, 13.6018666 47.2799375, 13.6019039 47.2799106, 13.6019406 47.2798832, 13.6019602 47.2798616, 13.6019939 47.2798329, 13.6020196 47.2798196, 13.6020398 47.279774, 13.6020783 47.2797428, 13.6021432 47.2796992, 13.6021909 47.2796382, 13.6022766 47.2795568, 13.6023317 47.2795153, 13.6024033 47.2794759, 13.602451 47.2794244, 13.6025036 47.2793638, 13.6025551 47.2793015, 13.6025869 47.2792525, 13.6025636 47.2792301, 13.6025551 47.2791848, 13.6025642 47.2791433, 13.6026524 47.2791055, 13.6027178 47.2791051, 13.6027515 47.2791205, 13.6027839 47.2791167, 13.602798 47.2790873, 13.6028054 47.2790578, 13.6028623 47.279037, 13.6029137 47.2790109, 13.6029486 47.2789639, 13.6029981 47.2789299, 13.6030838 47.2788905, 13.6031683 47.2788373, 13.6032656 47.2788045, 13.6033531 47.2787646, 13.6034051 47.2787356, 13.6034467 47.2786986, 13.6034736 47.2786766, 13.6034902 47.2786347, 13.6034932 47.2785807, 13.6035171 47.27854))"
way,35590818,"POLYGON ((13.401732 47.1858139, 13.4015669 47.1857638, 13.4013903 47.1856725, 13.4013059 47.1855865, 13.401219 47.1853876, 13.4010951 47.1853285, 13.4008209 47.1852873, 13.4006127 47.1852515, 13.4004546 47.1852103, 13.4002911 47.1851404, 13.4001024 47.1850936, 13.3999748 47.1850186, 13.399416 47.1849469, 13.3990206 47.1849487, 13.3987966 47.184886, 13.3985963 47.1848789, 13.3984091 47.1848842, 13.3983406 47.1848305, 13.3981937 47.184832, 13.3981287 47.1848051, 13.398071 47.1848038, 13.3979057 47.1847517, 13.397719 47.1847892, 13.3975472 47.1847427, 13.3974502 47.1847467, 13.3973978 47.18477, 13.397312 47.1847577, 13.3972133 47.1847217, 13.3973152 47.1846764, 13.3973732 47.1846532, 13.3974049 47.1844722, 13.3974286 47.1843504, 13.3975077 47.1842304, 13.3973603 47.1841967, 13.3971805 47.1842104, 13.3970773 47.1842045, 13.39697 47.1841689, 13.3969013 47.1841117, 13.3968079 47.1841564, 13.3966904 47.1842719, 13.3965703 47.1842826, 13.3965638 47.1841509, 13.396424 47.1840041, 13.3964588 47.1839354, 13.3968355 47.1838918, 13.3971938 47.1837181, 13.3974602 47.1836714, 13.3977287 47.1836961, 13.3978134 47.1838395, 13.3978582 47.183942, 13.3978767 47.1839276, 13.397903 47.1838058, 13.3978229 47.1836668, 13.3977712 47.1836034, 13.3976869 47.1835604, 13.3976684 47.1834332, 13.3976474 47.1833364, 13.3975995 47.1832778, 13.3976922 47.1831483, 13.3980623 47.1830739, 13.3990444 47.1830928, 13.3997565 47.1832913, 13.399974 47.1833759, 13.4001025 47.1836074, 13.4003772 47.1838286, 13.400516 47.1839589, 13.4007232 47.184141, 13.400958 47.1841928, 13.4011372 47.1841963, 13.4013191 47.1842572, 13.4015801 47.1844346, 13.4019596 47.1847212, 13.4022011 47.1846983, 13.4023487 47.1847931, 13.4023207 47.1848305, 13.4027396 47.1850536, 13.4022735 47.1854083, 13.401732 47.1858139))"
way,35606164,"POLYGON ((13.3621516 47.1990731, 13.3619434 47.1996432, 13.3616656 47.1999144, 13.3615432 47.2004647, 13.3617299 47.2007615, 13.3618827 47.2009704, 13.3620958 47.2010719, 13.3624329 47.2009762, 13.3628017 47.2009487, 13.363409 47.2007512, 13.3634691 47.2004363, 13.3634176 47.2000514, 13.3629627 47.1994332, 13.3625593 47.1991008, 13.3622084 47.1990421, 13.3621516 47.1990731))"
way,47414442,"POLYGON ((13.8963971 47.1864355, 13.8964562 47.186395, 13.8964342 47.1863496, 13.8963875 47.1863204, 13.8963381 47.1863005, 13.8962364 47.1862869, 13.8961591 47.1863105, 13.8961752 47.1863694, 13.896308 47.1864347, 13.8963971 47.1864355))"
way,51406222,"POLYGON ((13.4566153 47.298745, 13.4566743 47.2986433, 13.4567347 47.2984596, 13.4567167 47.2984039, 13.4567667 47.2982967, 13.457018 47.2981693, 13.4571104 47.2981668, 13.4572047 47.2981354, 13.4572168 47.2980666, 13.4572016 47.2979906, 13.4572298 47.2979227, 13.4572853 47.2978761, 13.4572887 47.2977936, 13.457219 47.2977074, 13.4571656 47.297537, 13.457052 47.2974202, 13.4570247 47.2973476, 13.4571697 47.2972463, 13.4571498 47.2971342, 13.4571099 47.2970608, 13.4570061 47.2969081, 13.456938 47.2968152, 13.456913 47.2966883, 13.4568767 47.2965309, 13.4568202 47.2959425, 13.4567488 47.2958526, 13.4566583 47.2958573, 13.4565602 47.2958533, 13.4564048 47.295881, 13.456262 47.2959377, 13.4561167 47.2959355, 13.4558734 47.2958108, 13.4557675 47.2958382, 13.4556629 47.2958878, 13.4555476 47.2959282, 13.4553785 47.2960509, 13.4553181 47.2961355, 13.4553484 47.296289, 13.4554514 47.2964505, 13.4555481 47.2967253, 13.4555854 47.2968314, 13.4556468 47.296959, 13.4555927 47.2971748, 13.4556164 47.2973065, 13.4556718 47.2974733, 13.4555975 47.2976862, 13.4555017 47.297816, 13.4554415 47.2979226, 13.4554633 47.298059, 13.4555311 47.2981569, 13.4556481 47.2982378, 13.4560022 47.2983486, 13.4562623 47.2984444, 13.4563827 47.2985541, 13.4566153 47.298745))"
way,61040992,"POLYGON ((13.4054874 47.2858993, 13.4056289 47.2859735, 13.4057503 47.2860375, 13.405821 47.286051, 13.4058698 47.2860529, 13.4059449 47.2860353, 13.4060598 47.2859469, 13.4061051 47.2859105, 13.4061415 47.2858994, 13.406168 47.2858851, 13.4061901 47.2858685, 13.4062056 47.285842, 13.4062111 47.2858221, 13.4062332 47.2858033, 13.4062531 47.2857702, 13.4062707 47.2857382, 13.4062707 47.2856984, 13.406252 47.285662, 13.4062144 47.2856333, 13.4061658 47.2856067, 13.4060852 47.2855714, 13.4059858 47.285546, 13.405914 47.2855372, 13.4058676 47.2855383, 13.4057749 47.2855659, 13.4057042 47.2856023, 13.4055661 47.2857426, 13.4054844 47.2858486, 13.4054811 47.285874, 13.4054874 47.2858993))"
way,61707171,"POLYGON ((13.5042565 47.3031535, 13.5043274 47.3030546, 13.5044279 47.3028984, 13.5045501 47.3027907, 13.5046687 47.3026648, 13.5048285 47.3025026, 13.504935 47.3023852, 13.504834 47.3022984, 13.5047558 47.3023087, 13.5045063 47.3025, 13.5042155 47.3026972, 13.5041352 47.3026928, 13.5045887 47.3023146, 13.5047081 47.3022734, 13.5047315 47.3022209, 13.5045109 47.302168, 13.5043674 47.3021556, 13.5042984 47.3021613, 13.5042418 47.3022287, 13.5042366 47.3023271, 13.5042065 47.3023513, 13.5041054 47.3023499, 13.5039485 47.3024317, 13.5038683 47.3025176, 13.503865 47.3026225, 13.5038844 47.3027629, 13.5039195 47.3028742, 13.5039086 47.3029493, 13.5039437 47.3030558, 13.5039873 47.3031224, 13.5040896 47.3031446, 13.5042565 47.3031535))"
