element_type,osmid,geometry
way,52932935,"POLYGON ((12.3897555 46.7435929, 12.3897252 46.7436177, 12.3897443 46.7436378, 12.38984 46.743655, 12.3899707 46.7437267, 12.3899798 46.7438293, 12.3899435 46.7439105, 12.3897385 46.7439772, 12.38968 46.7440997, 12.3898508 46.7440687, 12.3899751 46.7440798, 12.3900787 46.7441794, 12.3902512 46.7442265, 12.3907853 46.7442062, 12.3912272 46.7441589, 12.3913571 46.7440969, 12.3913593 46.7440287, 12.3913187 46.7440071, 12.3909777 46.7439345, 12.3906074 46.7438685, 12.3902833 46.7437374, 12.3900084 46.7436092, 12.3898873 46.7435806, 12.3897555 46.7435929))"
way,61158302,"POLYGON ((12.3911783 46.875275, 12.3911934 46.8752273, 12.3911934 46.8751539, 12.3912386 46.8751075, 12.3913037 46.8750688, 12.391428 46.8750418, 12.3915213 46.8749915, 12.3916033 46.874922, 12.3916372 46.8748543, 12.3916937 46.8748312, 12.3917785 46.8748601, 12.3918549 46.8749258, 12.3919057 46.8749838, 12.3919114 46.8750746, 12.3918973 46.8751423, 12.3918492 46.8752273, 12.3917724 46.87528, 12.3917009 46.875334, 12.3916552 46.8753673, 12.3915746 46.8754357, 12.391394 46.8754636, 12.3912556 46.8754012, 12.3911934 46.8753336, 12.3911783 46.875275))"
way,75751289,"POLYGON ((12.5133003 46.9653154, 12.5138527 46.9649005, 12.513735 46.9646787, 12.5135477 46.9645831, 12.5134855 46.9645513, 12.513381 46.9646128, 12.5130234 46.9646884, 12.5127554 46.964609, 12.5127424 46.9647523, 12.5124119 46.9649208, 12.5123677 46.9652521, 12.5121823 46.9654628, 12.5124017 46.9655194, 12.5126317 46.9653567, 12.5128701 46.9653567, 12.5133003 46.9653154))"
way,75763876,"POLYGON ((12.798641 46.7803706, 12.7985911 46.7803873, 12.7985917 46.78042, 12.7986386 46.7804366, 12.7986572 46.7804186, 12.798641 46.7803706))"
way,78362694,"POLYGON ((12.7163214 46.9195046, 12.7164131 46.9195547, 12.7165816 46.9194905, 12.7167047 46.9194913, 12.7167286 46.9197175, 12.716944 46.9199176, 12.7172173 46.9201204, 12.7175995 46.9200984, 12.7179444 46.9201028, 12.7182143 46.9200781, 12.7186018 46.9200491, 12.7188974 46.9199998, 12.7189993 46.9198965, 12.7190707 46.9196814, 12.7191471 46.9195547, 12.7191244 46.9194274, 12.7189698 46.9192639, 12.718708 46.919196, 12.7185852 46.9191, 12.718363 46.9190374, 12.7182604 46.9190012, 12.7180233 46.9189715, 12.7178004 46.9188502, 12.7174179 46.9187918, 12.7172047 46.9187178, 12.7172028 46.9186487, 12.7170137 46.9186841, 12.7168957 46.9186927, 12.7168069 46.9187986, 12.7166798 46.9188283, 12.7167063 46.9189615, 12.716602 46.9191168, 12.7165218 46.9192249, 12.7164864 46.9193896, 12.7163214 46.9195046))"
way,85290881,"POLYGON ((12.5801833 46.6650888, 12.5800649 46.6652267, 12.5801924 46.665352, 12.5805019 46.6654335, 12.5807751 46.6656403, 12.5811939 46.6656591, 12.5814761 46.6656529, 12.5816855 46.6656905, 12.5818221 46.6658284, 12.5819769 46.6659349, 12.5820315 46.6658848, 12.5821954 46.6659788, 12.5826506 46.6660164, 12.5827416 46.6659287, 12.5827319 46.6658649, 12.582496 46.6657071, 12.5822889 46.6656072, 12.5818971 46.6652507, 12.5815854 46.6650073, 12.5811939 46.664838, 12.5806112 46.6649133, 12.5802441 46.6650639, 12.5801833 46.6650888))"
way,85703088,"POLYGON ((12.6002771 46.9290462, 12.6002228 46.9292589, 12.6001917 46.9295353, 12.6005719 46.9298754, 12.6007504 46.929817, 12.6008513 46.9296735, 12.6010297 46.9296841, 12.6010608 46.9298116, 12.6011151 46.9298542, 12.6012625 46.9297904, 12.6013168 46.9296788, 12.6013711 46.9296522, 12.601503 46.929498, 12.6017048 46.9294662, 12.6017434 46.9293815, 12.6017436 46.9293811, 12.6018756 46.9293221, 12.6019298 46.9292589, 12.6020384 46.9291951, 12.6022013 46.9291951, 12.6025505 46.9289931, 12.6025738 46.9289293, 12.6026514 46.9289559, 12.6029307 46.9288655, 12.603117 46.9287619, 12.6031588 46.9286642, 12.6029476 46.9283238, 12.6025786 46.9282818, 12.6023204 46.9282597, 12.602116 46.9283659, 12.601891 46.9286157, 12.6015418 46.9287007, 12.601053 46.9288389, 12.6009599 46.9288336, 12.6002771 46.9290462))"
way,89371347,"POLYGON ((12.3929505 46.9169179, 12.3934668 46.9169607, 12.3944444 46.9169689, 12.3951306 46.9169322, 12.3959119 46.9169194, 12.3969723 46.9170129, 12.3975075 46.9171035, 12.3980489 46.9171489, 12.3989286 46.9171958, 12.3999226 46.9171917, 12.4010373 46.9174523, 12.4016263 46.9176, 12.4019748 46.9176406, 12.4020316 46.917504, 12.4010968 46.9172143, 12.4003891 46.9169953, 12.3995319 46.9169112, 12.3987287 46.9169208, 12.3978563 46.9169124, 12.396516 46.9167589, 12.3957306 46.9166869, 12.3954283 46.9166228, 12.3949058 46.9166185, 12.3944325 46.9166877, 12.3938086 46.9166979, 12.3936997 46.9166941, 12.3932301 46.9166777, 12.3929098 46.9166789, 12.3923437 46.9165972, 12.3916446 46.9164104, 12.390738 46.9162026, 12.389918 46.9158608, 12.3892121 46.915676, 12.3882125 46.9155136, 12.387118 46.9153812, 12.3862035 46.915235, 12.3856026 46.915156, 12.3851793 46.914996, 12.3844784 46.9147732, 12.3841179 46.9146199, 12.3836334 46.9145665, 12.3824376 46.9146926, 12.3813411 46.9146508, 12.3806518 46.9142633, 12.3803299 46.9140253, 12.3794721 46.9137669, 12.3791479 46.9137355, 12.378848 46.9136359, 12.3783347 46.9137558, 12.3779645 46.9139385, 12.3777187 46.9141415, 12.3775079 46.914315, 12.3771527 46.9145974, 12.3767096 46.9149204, 12.3764826 46.9151012, 12.3766069 46.9152009, 12.376996 46.9149351, 12.3772796 46.9147358, 12.3774363 46.9145771, 12.3776944 46.9143593, 12.3779915 46.9141102, 12.3782239 46.9139976, 12.3785292 46.9139367, 12.3787291 46.9138979, 12.3789318 46.9139275, 12.3794613 46.9140603, 12.3802218 46.9142929, 12.3805271 46.914411, 12.380835 46.9145928, 12.3811983 46.9147925, 12.3815606 46.9148399, 12.3818756 46.9148606, 12.3827568 46.9149165, 12.3837348 46.9149296, 12.3841503 46.9150194, 12.3850211 46.9151967, 12.3855545 46.9153312, 12.3860431 46.9154338, 12.3864456 46.9155266, 12.3876301 46.9156535, 12.3889535 46.9158063, 12.3898523 46.9160787, 12.3904998 46.9163238, 12.3916283 46.9166952, 12.3917765 46.9167309, 12.3921887 46.9167807, 12.3929505 46.9169179))"
way,92675705,"POLYGON ((12.7412383 46.947091, 12.7412759 46.9472668, 12.7413778 46.9472668, 12.7415066 46.9473217, 12.7415709 46.9472412, 12.7416782 46.9472192, 12.741764 46.9470764, 12.7417694 46.9469848, 12.7416729 46.9468969, 12.7415173 46.9469116, 12.7413403 46.9469592, 12.7412383 46.947091))"
way,92677135,"POLYGON ((12.7256225 46.9126814, 12.725762 46.9125642, 12.7260034 46.9125642, 12.7260946 46.9124176, 12.7262341 46.9121794, 12.7262931 46.9120181, 12.7262448 46.9118972, 12.726116 46.9117726, 12.7260999 46.911648, 12.7259605 46.9115967, 12.7258585 46.9115967, 12.7257674 46.9117946, 12.7257674 46.9119778, 12.7257405 46.9121171, 12.7256386 46.912205, 12.7256279 46.9123663, 12.7255313 46.9125422, 12.7256225 46.9126814))"
