1010,17223,"Wien,Innere Stadt"
1020,17224,"Wien,Leopoldstadt"
1030,17225,"Wien,Landstraße"
1040,17226,"Wien,Wieden"
1050,17227,"Wien,Margareten"
1060,17228,"Wien,Mariahilf"
1070,17229,"Wien,Neubau"
1080,17230,"Wien,Josefstadt"
1090,17231,"Wien,Alsergrund"
1100,"17232, 17226","Wien,Favoriten, Wien,Wieden"
1110,17233,"Wien,Simmering"
1120,"17245, 17234","Wien,Liesing, Wien,Meidling"
1130,17235,"Wien,Hietzing"
1140,"06722, 06714, 06709, 17236","Purkersdorf, Mauerbach, Weidlingbach, Wien,Penzing"
1150,17237,"Wien,Rudolfsheim-Fünfhaus"
1160,"17238, 17236","Wien,Ottakring, Wien,Penzing"
1170,"06709, 17239","Weidlingbach, Wien,Hernals"
1180,"17240, 17241","Wien,Währing, Wien,Döbling"
1190,"17241, 06708","Wien,Döbling, Weidling"
1200,17242,"Wien,Brigittenau"
1210,"17243, 04096","Wien,Floridsdorf, Langenzersdorf"
1220,17244,"Wien,Donaustadt"
1230,"05158, 17245, 17234","Perchtoldsdorf, Wien,Liesing, Wien,Meidling"
1300,06726,Mannswörth
2000,"04120, 04133, 04112, 04132, 04090","Oberolberndorf, Unterzögersdorf, Oberzögersdorf, Stockerau, Zissersdorf"
2002,"04065, 04068, 04064, 04073, 04071, 04072, 04067, 04069, 04070","Geitzendorf, Herzogbirbaum, Füllersdorf, Steinabrunn, Ringendorf, Roseldorf, Großmugl, Nursch, Ottendorf"
2003,"04100, 04099, 04132, 04098, 04107","Wollmannsberg, Wiesen, Stockerau, Leitzersdorf, Haselbach"
2004,"04106, 04105, 04108, 04109","Niederfellabrunn, Bruderndorf, Niederhollabrunn, Streitdorf"
2011,"04125, 04117, 04122, 04123, 04097, 04121, 04124, 04118, 04119","Unterparschenbrunn, Höbersdorf, Sierndorf, Unterhautzental, Hatzenbach, Senning, Untermallebarn, Oberhautzental, Obermallebarn"
2013,"03759, 03816, 03874, 03758, 03823, 03873, 03769, 03760, 03872, 03746, 03751, 03768","Oberparschenbrunn, Obergrub, Wischathal, Göllersdorf, Porrau, Viendorf, Großstelzendorf, Schönborn, Untergrub, Bergau, Eitzersthal, Furth"
2014,"03749, 03748, 03747, 03745, 03793, 03865","Puch, Kleedorf, Breitenwaida, Aspersdorf, Hollabrunn, Dietersdorf"
2020,"03798, 03867, 03756, 03761, 03762, 03766, 03795, 03745, 03794, 03866, 03764, 03796, 03815, 03747, 03765, 03793, 03868, 03749, 03797","Kleinstelzendorf, Wolfsbrunn, Kleinstetteldorf, Mittergrabern, Obergrabern, Groß, Mariathal, Aspersdorf, Magersdorf, Sonnberg, Schöngrabern, Raschala, Oberfellabrunn, Breitenwaida, Windpassing, Hollabrunn, Suttenbrunn, Puch, Wieselsfeld"
2022,"03877, 03881","Immendorf, Schalladorf"
2023,"03813, 03809, 03880, 03812","Nappersdorf, Haslach, Oberstinkenbrunn, Kleinweikersdorf"
2024,03800,Mailberg
2031,"03793, 03757, 03752, 03753","Hollabrunn, Weyerburg, Altenmarkt im Thale, Eggendorf im Thale"
2032,"03754, 03755, 05033, 04066","Enzersdorf im Thale, Kleinkadolz, Oedenkirchenwald, Glaswein"
2033,"03808, 03810, 03811","Dürnleis, Kammersdorf, Kleinsierndorf"
2034,"05042, 05043","Diepolz, Großharras"
2041,"03777, 03876, 03875, 03882, 03778, 03879","Aschendorf, Hetzmannsdorf, Grund, Wullersdorf, Hart, Maria Roggendorf"
2042,"03772, 03875, 03771, 03878, 03763","Guntersdorf, Grund, Großnondorf, Kalladorf, Ober-Steinabrunn"
2051,"03883, 03888, 03886, 03887, 03884","Deinzendorf, Zellerndorf, Platt, Watzelsdorf, Dietmannsdorf"
2052,"03818, 03821, 03820","Karlsdorf, Pfaffendorf, Pernersdorf"
2053,"03781, 03822, 03819","Jetzelsdorf, Ragelsdorf, Peigarten"
2054,"03744, 03779, 03782, 03780","Alberndorf im Pulkautal, Auggenthal, Kleinhaugsdorf, Haugsdorf"
2061,"03774, 03773, 03775","Obritz, Hadres, Untermarkersdorf"
2062,"03855, 03856","Großkadolz, Seefeld"
2063,05044,Zwingendorf
2064,05139,Wulzeshofen
2070,"03841, 03839, 03842, 03843, 03840","Unternalb, Obernalb, Mitterretzbach, Oberretzbach, Retz"
2073,"03852, 03853, 03885, 03854","Obermarkersdorf, Schrattenthal, Pillersdorf, Waitzendorf"
2074,"03838, 03844, 03837","Kleinriedenthal, Unterretzbach, Kleinhöflein"
2081,"03814, 03786, 04041","Niederfladnitz, Hofern, Oberfladnitz"
2082,"03807, 03776","Merkersdorf, Hardegg"
2083,"03848, 03846, 03850","Pleissing, Heufurth, Waschbach"
2084,"04047, 04044, 04046, 04043, 04040, 04045, 04048","Untermixnitz, Prutzendorf, Starrein, Obermixnitz, Fronsburg, Rassingdorf, Weitersfeld"
2091,"03985, 04042, 03984","Langau, Oberhöflein, Hessendorf"
2092,"03847, 03849, 03845","Mallersbach, Riegersburg, Felling"
2093,"03961, 03951, 03952, 03956, 03953, 03957","Trautmannsdorf, Fugnitz, Geras, Kottaun, Goggitsch, Pfaffenreith"
2094,"03931, 03932, 06465, 06491, 03960, 03927, 03930","Zettlitz, Zissersdorf, Eibenstein, Unterpfaffendorf, Sieghartsreith, Pingendorf, Wollmersdorf"
2095,"03922, 03923, 03928, 03924, 03929, 03926, 03921, 06481, 03925, 06489","Drosendorf Altstadt, Drosendorf Stadt, Unterthürnau, Elsern, Wolfsbach, Oberthürnau, Autendorf, Primmersdorf, Heinrichsreith, Trabersdorf"
2100,"04049, 04131, 04095, 04096, 04101, 04134","Bisamberg, Stetten, Korneuburg, Langenzersdorf, Leobendorf, Tresdorf"
