KG_NUMMER,KG,GKZ,PB,PG,BL,GB,plz,CC
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1010.0,90101.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1020.0,90201.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1030.0,90301.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1040.0,90401.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1050.0,90501.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1060.0,90601.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1070.0,90701.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1080.0,90801.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1090.0,90901.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1100.0,91001.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1110.0,91101.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1120.0,91201.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1130.0,91301.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1140.0,91401.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1150.0,91501.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1160.0,91601.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1170.0,91701.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1180.0,91801.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1190.0,91901.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1200.0,92001.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1210.0,92101.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1220.0,92201.0
1002,Alsergrund,90001,Wien(Stadt),Wien,Wien,Josefstadt,1230.0,92301.0
1004,Innere Stadt,90001,Wien(Stadt),Wien,Wien,Innere Stadt Wien,1010.0,90101.0
1004,Innere Stadt,90001,Wien(Stadt),Wien,Wien,Innere Stadt Wien,1020.0,90201.0
1004,Innere Stadt,90001,Wien(Stadt),Wien,Wien,Innere Stadt Wien,1030.0,90301.0
1004,Innere Stadt,90001,Wien(Stadt),Wien,Wien,Innere Stadt Wien,1040.0,90401.0
1004,Innere Stadt,90001,Wien(Stadt),Wien,Wien,Innere Stadt Wien,1050.0,90501.0
1004,Innere Stadt,90001,Wien(Stadt),Wien,Wien,Innere Stadt Wien,1060.0,90601.0
1004,Innere Stadt,90001,Wien(Stadt),Wien,Wien,Innere Stadt Wien,1070.0,90701.0
1004,Innere Stadt,90001,Wien(Stadt),Wien,Wien,Innere Stadt Wien,1080.0,90801.0
1004,Innere Stadt,90001,Wien(Stadt),Wien,Wien,Innere Stadt Wien,1090.0,90901.0
